Medication Name,Generic Name,Dosage Form,Strength,Medication Class,Abbr,Strength UOM,Default Prescription Dosage,Default Prescription Duration
Aripiprazole,Aripiprazole,Tablet,10mg,Antipsychotic,ARIP,mg,10mg,30 days
Methotrexate,Methotrexate,Tablet,2.5mg,Antirheumatic,METH,mg,2.5mg,7 days
Lansoprazole,Lansoprazole,Capsule,30mg,Proton Pump Inhibitor,LAN,mg,30mg,14 days
Nitrofurantoin,Nitrofurantoin,Capsule,100mg,Antibiotic,NITRO,mg,100mg,7 days
Carvedilol,Carvedilol,Tablet,12.5mg,Beta Blocker,CARV,mg,12.5mg,30 days
Isosorbide Mononitrate,Isosorbide Mononitrate,Tablet,30mg,Nitrate,ISO,mg,30mg,30 days
Hydralazine,Hydralazine,Tablet,50mg,Vasodilator,HYDRA,mg,50mg,30 days
Acyclovir,Acyclovir,Tablet,400mg,Antiviral,ACY,mg,400mg,7 days
Ropinirole,Ropinirole,Tablet,1mg,Dopamine Agonist,ROP,mg,1mg,30 days
Oseltamivir,Oseltamivir,Capsule,75mg,Antiviral,OSE,mg,75mg,5 days
Terazosin,Terazosin,Tablet,1mg,Alpha Blocker,TER,mg,1mg,30 days
Amiodarone,Amiodarone,Tablet,200mg,Antiarrhythmic,AMIO,mg,200mg,30 days
Clotrimazole,Clotrimazole,Topical,1%,Antifungal,CLOT,%,1%,as needed
Diazepam,Diazepam,Tablet,5mg,Benzodiazepine,DIAZ,mg,5mg,as needed
Enalapril,Enalapril,Tablet,10mg,ACE Inhibitor,ENAL,mg,10mg,30 days
Minocycline,Minocycline,Tablet,100mg,Antibiotic,MINO,mg,100mg,7 days
Famotidine,Famotidine,Tablet,20mg,H2 Antagonist,FAM,mg,20mg,14 days
Erythromycin,Erythromycin,Tablet,250mg,Antibiotic,ERY,mg,250mg,7 days
